phase,field,summary,T32,T64,T128,T32_T64_difference,T64_T128_difference,gate,gate_applicable,passed_T64_T128
0.75,myocyte_jelly_normal_traction,absolute_p95,0.006706704815942203,0.006706566627007843,0.006706477879327152,2.0604594678330784e-05,1.3232952958958528e-05,0.05,True,True
0.75,myocyte_jelly_tangential_traction,normalized_l2,,,,1.6914258091142077e-05,6.949181057244041e-06,0.05,True,True
0.75,myocyte_jelly_tangential_traction,absolute_p95,0.047243991199089785,0.04724322856544473,0.04724290665566115,1.6142447445658655e-05,6.813881975349007e-06,0.05,True,True
0.75,myocyte_jelly_traction_magnitude,normalized_l2,,,,1.7156828344896073e-05,7.156912999348785e-06,0.05,True,True
0.75,myocyte_jelly_traction_magnitude,absolute_p95,0.0477013926899483,0.04770061718750438,0.04770028534045619,1.6257438204412993e-05,6.956871163392698e-06,0.05,True,True
1.0,ecm_displacement,normalized_l2,,,,0.8126789605243029,0.7919628087097809,0.05,False,
1.0,ecm_displacement,absolute_p95,2.0324017560028572e-07,4.3893408577442126e-08,1.0324447391796913e-08,0.7840318310698192,0.7647836491535793,0.05,False,
1.0,ecm_dissipation_density,normalized_l2,,,,0.001548252049785346,0.0008622212134235613,0.05,True,True
1.0,ecm_dissipation_density,absolute_p95,6.300359709013191e-05,6.29089516932605e-05,6.285655109412668e-05,0.0015022221149694286,0.0008329593439947119,0.05,True,True
1.0,ecm_equilibrium_energy_density,normalized_l2,,,,0.006063485931237794,0.0029479176590002545,0.05,True,True
1.0,ecm_equilibrium_energy_density,absolute_p95,1.4824369849460176e-05,1.491508825265561e-05,1.4959242876369073e-05,0.006082324265113273,0.0029516616635200557,0.05,True,True
1.0,ecm_internal_z,normalized_l2,,,,0.0030820868821225715,0.0014884534882769961,0.05,True,True
1.0,ecm_internal_z,absolute_p95,0.017277966489166914,0.017331789312245452,0.017357913975616278,0.0031054394966889168,0.001505057774080735,0.05,True,True
1.0,ecm_jacobian,normalized_l2,,,,6.135430017962008e-07,3.1000651570744834e-07,0.05,True,True
1.0,ecm_jacobian,absolute_p95,1.0002869479478464,1.0002879047339053,1.0002883884018963,9.565106748742155e-07,4.835285469664901e-07,0.05,True,True
1.0,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.003213392272358116,0.0016135811186906346,0.05,True,True
1.0,ecm_max_principal_cauchy_stress,absolute_p95,0.008292429005076785,0.0083188719751085,0.008332002310973651,0.0031786725545045517,0.0015758920095183435,0.05,True,True
1.0,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.0030029003568236524,0.0014394641766907815,0.05,True,True
1.0,ecm_max_principal_green_lagrange_strain,absolute_p95,0.0019649799192291355,0.001970883614709138,0.0019737171484032123,0.002995456167955233,0.0014356331130662976,0.05,True,True
1.0,ecm_viscoelastic_energy_density,normalized_l2,,,,0.00626181476850407,0.0030460661130846797,0.05,True,True
1.0,ecm_viscoelastic_energy_density,absolute_p95,6.202555493034427e-05,6.241907286673215e-05,6.261141701045475e-05,0.006304450199509667,0.00307202987740202,0.05,True,True
