family,source_level,group_id,valence,vertex_count,normal_absolute_error_mean,normal_absolute_error_maximum,normal_absolute_error_rms,tangential_speed_mean,tangential_speed_maximum,tangential_speed_rms
A,5,65,6,120,0.00016060749228794845,0.00016060749248006552,0.00016060749228794853,0.00012589602624871527,0.00012589602625267301,0.00012589602624871527
A,5,66,6,120,4.8693991028182955e-05,4.8693991122920541e-05,4.8693991028182955e-05,3.1865330778773439e-05,3.1865330782530443e-05,3.1865330778773445e-05
A,5,67,6,120,0.00014886340343414964,0.00014886340353329267,0.00014886340343414961,0.00044819396121755986,0.00044819396122230466,0.00044819396121756013
A,5,68,6,120,0.00016060757551332027,0.00016060757559955771,0.00016060757551332027,0.00011058587523054211,0.00011058587523434575,0.00011058587523054213
A,5,69,6,120,0.00010485824191405699,0.00010485824202878004,0.000104858241914057,0.0020511124694552905,0.0020511124694589707,0.0020511124694552901
A,5,70,6,120,0.00013527640332322983,0.00013527640345335941,0.00013527640332322983,3.0248822030210424e-05,3.0248822033625241e-05,3.0248822030210427e-05
A,5,71,6,120,0.00015649322920563592,0.00015649322935087917,0.00015649322920563582,2.9609036449927868e-05,2.9609036454198046e-05,2.9609036449927868e-05
A,5,72,6,120,0.0001048413667204823,0.00010484136681206124,0.00010484136672048233,0.0020496486105478235,0.0020496486105511412,0.0020496486105478231
A,5,73,6,120,0.00014886997905678065,0.00014886997917371546,0.00014886997905678065,0.00042939442714107136,0.00042939442714376371,0.00042939442714107163
A,5,74,6,120,0.0001625246986964082,0.0001625246988717563,0.00016252469869640831,2.9924147253303609e-05,2.9924147257163962e-05,2.9924147253303603e-05
A,5,75,6,120,4.762359909107099e-05,4.7623599246874454e-05,4.7623599091070997e-05,3.2367130413425038e-05,3.2367130416406031e-05,3.2367130413425038e-05
A,5,76,6,120,0.00013419320118874886,0.00013419320128585724,0.00013419320118874888,3.0786514334307308e-05,3.0786514337257416e-05,3.0786514334307308e-05
A,5,77,6,120,0.00015165962073385077,0.00015165962087234676,0.00015165962073385077,3.1846096658284756e-05,3.1846096661194056e-05,3.1846096658284742e-05
A,5,78,6,120,0.00015610939338190944,0.0001561093936021038,0.00015610939338190955,0.00013743617033973928,0.00013743617034277353,0.00013743617033973922
A,5,79,6,120,4.4682816189801099e-05,4.4682816409576109e-05,4.4682816189801099e-05,3.3914415156440178e-05,3.3914415159510124e-05,3.3914415156440185e-05
A,5,80,6,120,0.00015936955010588353,0.00015936955024349782,0.00015936955010588367,3.1604666046107628e-05,3.1604666048568157e-05,3.1604666046107635e-05
A,5,81,6,120,0.00015610949476707139,0.0001561094949041001,0.00015610949476707137,0.00011695687899395488,0.00011695687899644067,0.00011695687899395479
A,5,82,6,120,0.00015977947074862243,0.00015977947086243116,0.00015977947074862249,3.154288128319497e-05,3.1542881286873329e-05,3.154288128319497e-05
A,5,83,6,120,4.1542552615448942e-05,4.1542552683005579e-05,4.1542552615448949e-05,0.00013695826277397664,0.00013695826277644433,0.0001369582627739765
A,5,84,6,60,3.7406029145372124e-05,3.7406029187959586e-05,3.7406029145372124e-05,3.3880509735277256e-05,3.3880509739863432e-05,3.3880509735277243e-05
A,5,85,6,120,0.00015818016672053766,0.0001581801668242705,0.00015818016672053761,3.221116184700196e-05,3.2211161850667119e-05,3.221116184700196e-05
A,5,86,6,60,4.3511814144579136e-05,4.3511814310686139e-05,4.3511814144579136e-05,3.4471079279031876e-05,3.4471079282114723e-05,3.4471079279031876e-05
A,5,87,6,60,9.8873764024425798e-05,9.887376406633383e-05,9.8873764024425798e-05,4.0640663645400783e-05,4.0640663649113668e-05,4.0640663645400777e-05
A,5,88,6,120,0.0001045482866390979,0.0001045482867251691,0.00010454828663909792,0.00016337831667047082,0.00016337831667333737,0.00016337831667047079
A,5,89,6,120,0.00014970340076939117,0.0001497034009081185,0.0001497034007693912,3.9401451363821466e-05,3.9401451367105507e-05,3.9401451363821486e-05
A,5,90,6,120,0.00010888368848508796,0.00010888368867059857,0.00010888368848508795,4.0462347281709737e-05,4.0462347287360951e-05,4.0462347281709757e-05
A,5,91,6,120,0.00014518600726324052,0.00014518600737183779,0.00014518600726324044,0.00016301754827500377,0.00016301754827895582,0.00016301754827500374
A,5,92,6,120,0.00012798634726245367,0.00012798634734792133,0.0001279863472624537,0.0006499383896260097,0.00064993838962881312,0.00064993838962600959
A,5,93,6,120,0.00013940457915317475,0.00013940457931397275,0.0001394045791531747,3.9715916611105649e-05,3.9715916614889671e-05,3.9715916611105643e-05
A,5,94,6,120,0.00014956433867226724,0.00014956433877955262,0.00014956433867226721,3.9427077792798604e-05,3.9427077795978075e-05,3.9427077792798604e-05
A,5,95,6,120,0.00012797808955160103,0.00012797808964003579,0.00012797808955160103,0.00064653382091958483,0.00064653382092362229,0.00064653382091958461
A,5,96,6,120,0.00014518600892313231,0.00014518600904215966,0.00014518600892313228,0.00015517224205413937,0.0001551722420559009,0.00015517224205413929
A,5,97,6,120,0.00014789616419929574,0.00014789616431878927,0.00014789616419929569,4.028598232372237e-05,4.0285982326241019e-05,4.0285982323722397e-05
A,5,98,6,60,0.00010722409834438857,0.00010722409839484734,0.00010722409834438858,4.1300677592742618e-05,4.1300677594377093e-05,4.1300677592742638e-05
A,5,99,6,60,0.00013182264275676757,0.00013182264278354013,0.00013182264275676754,4.3271750197459499e-05,4.3271750201370311e-05,4.3271750197459492e-05
A,5,100,6,120,0.00013820017822672626,0.00013820017833875327,0.00013820017822672629,0.00017353434590929931,0.00017353434591340269,0.00017353434590929934
A,5,101,6,120,0.00014309003815992849,0.00014309003825764034,0.00014309003815992844,4.2973040976336043e-05,4.2973040977965307e-05,4.297304097633605e-05
A,5,102,6,60,0.00014119297185068158,0.00014119297199249523,0.00014119297185068158,4.3953177843570231e-05,4.3953177846431332e-05,4.3953177843570231e-05
