phase,field,summary,T16,T32,T64,T16_T32_difference,T32_T64_difference,gate,passed_T32_T64
0.25,myocyte_jelly_tangential_traction,absolute_p95,0.047515874960821096,0.04751545547246215,0.04751581480656089,8.828383341166508e-06,7.562410540637514e-06,0.05,True
0.25,myocyte_jelly_traction_magnitude,normalized_l2,,,,9.915201563305955e-06,8.588911399288496e-06,0.05,True
0.25,myocyte_jelly_traction_magnitude,absolute_p95,0.04797567542711341,0.047975230354359875,0.047975586629913976,9.27705028791584e-06,7.426184422687006e-06,0.05,True
0.5,ecm_displacement,normalized_l2,,,,0.0008240366858306551,0.0003964090441126177,0.05,True
0.5,ecm_displacement,absolute_p95,0.021362427774501272,0.02135643581871843,0.02135333510203931,0.0002804903939801373,0.00014518886510096068,0.05,True
0.5,ecm_dissipation_density,normalized_l2,,,,0.005592501576442032,0.0020977608594898015,0.05,True
0.5,ecm_dissipation_density,absolute_p95,5.412701881295045e-05,5.3821911368389175e-05,5.370662218443895e-05,0.0056368787945933465,0.0021420492327208027,0.05,True
0.5,ecm_equilibrium_energy_density,normalized_l2,,,,0.0010862888287502658,0.0006105163072703696,0.05,True
0.5,ecm_equilibrium_energy_density,absolute_p95,0.0008286485504603276,0.0008277664360907746,0.0008272633600941791,0.001064521707137459,0.0006077511417003706,0.05,True
0.5,ecm_internal_z,normalized_l2,,,,0.004307543732287406,0.002480968889419342,0.05,True
0.5,ecm_internal_z,absolute_p95,0.017674583382173807,0.017596915912391913,0.017552720246551284,0.004394302717212992,0.00251155748317843,0.05,True
0.5,ecm_jacobian,normalized_l2,,,,1.185350437058362e-06,5.806812689977153e-07,0.05,True
0.5,ecm_jacobian,absolute_p95,1.0029404521849572,1.0029392577225922,1.0029387145225759,1.1909604028984013e-06,5.41608090538083e-07,0.05,True
0.5,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.0005563986104061277,0.0002737713225981868,0.05,True
0.5,ecm_max_principal_cauchy_stress,absolute_p95,0.09370621259511738,0.0936469695369399,0.09361747244338227,0.000632221242720081,0.0003149818269987027,0.05,True
0.5,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.0006246093522360052,0.000370266623278309,0.05,True
0.5,ecm_max_principal_green_lagrange_strain,absolute_p95,0.01332130984420722,0.013313314235566217,0.01330859648499304,0.0006002118961656988,0.00035436334557284525,0.05,True
0.5,ecm_viscoelastic_energy_density,normalized_l2,,,,0.010117219936985956,0.005731231647181209,0.05,True
0.5,ecm_viscoelastic_energy_density,absolute_p95,5.245743638056959e-05,5.298640195512045e-05,5.328840289538194e-05,0.009983043857155984,0.005667292015757956,0.05,True
0.5,endocardial_displacement,normalized_l2,,,,0.0004984991224929319,0.0002326771086949959,0.05,True
0.5,endocardial_displacement,absolute_p95,0.014079628882041348,0.014084009321199496,0.01408599396432056,0.0003110221711905461,0.00014089478712628613,0.05,True
0.5,jelly_endocardium_normal_traction,normalized_l2,,,,0.0005339430507354205,0.00024042039565965232,0.05,True
0.5,jelly_endocardium_normal_traction,absolute_p95,2.4172443931730005e-05,2.4169035705211132e-05,2.4162324655281296e-05,0.00014099635636754548,0.0002776713978865342,0.05,True
0.5,jelly_endocardium_tangential_traction,normalized_l2,,,,0.0005993093815627167,0.0003502318812980253,0.05,True
0.5,jelly_endocardium_tangential_traction,absolute_p95,0.002195780077094958,0.0021945747598074035,0.002193803027719632,0.0005489244119334427,0.0003516544990425905,0.05,True
0.5,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.0005755945008023075,0.0003139852618692494,0.05,True
0.5,jelly_endocardium_traction_magnitude,absolute_p95,0.0023606203231142453,0.002359312797282868,0.0023584994296753036,0.0005538907797135675,0.00034474767758688944,0.05,True
